,Date,Compétition,Lieu,Adversaire,Score
552,1980-02-16,Cabral,Neutre,Guinée,2-1
553,1980-02-14,Cabral,Neutre,Mauritanie,2-1
554,1980-02-10,Cabral,Neutre,Mali,0-1
555,Années 1970,Années 1970,Années 1970,Années 1970,Années 1970
556,1979-12-26,AMC,Extérieur,Tunisie,1-3
557,1979-11-03,AMC,Extérieur,Sierra Leone,0-1
558,1979-09-29,AMC,Domicile,Nigeria,0-2
559,1979-04-29,QJO,Domicile,Maroc,1-0
560,1979-04-15,QJO,Extérieur,Maroc,0-1
561,1979-03-25,AMC,Extérieur,Mali,0-1
562,1979-03-10,AMC,Domicile,Mali,2-1
563,1979-02-03,AMC,Neutre,Togo,0-1
564,1979-02-01,AMC,Extérieur,Liberia,1-1
565,1979-01-30,AMC,Neutre,Guinée,1-1
566,1979-01-14,Cabral,Neutre,Mali,1-0
567,1979-01-13,Cabral,Neutre,Guinée,3-1
568,1979-01-11,Cabral,Neutre,Guinée-Bissau,2-0
569,1979-01-09,Cabral,Neutre,Cap-Vert,1-0
570,1977-06-25,QCAN,Extérieur,Nigeria,0-3
571,1977-06-11,QCAN,Domicile,Nigeria,3-1
572,1977-05-27,AMC,Domicile,Maroc,2-3
573,1977-05-05,AMC,Extérieur,Algérie,0-2
574,1977-03-27,QCAN,Extérieur,Togo,1-0
575,1977-03-21,AMC,Domicile,Vegle Boldklub,1-0
576,1977-03-13,QCAN,Domicile,Togo,2-1
577,1977-03-05,AMC,Domicile,Guinée,1-0
578,1977-02-02,AMC,Domicile,Danemark,2-3
579,1976-11-02,QCDM,Domicile,Togo,1-1
580,1976-10-18,QCDM,Extérieur,Togo,0-1
581,1976-03-28,QJO,Extérieur,Ghana,1-2
582,1976-03-21,AMC,Extérieur,Côte d'Ivoire,1-2
583,1976-03-15,QJO,Domicile,Ghana,0-0
584,1976-01-16,AMC,Neutre,Guinée,2-2
585,1976-01-15,AMC,Neutre,Mauritanie,4-1
586,1975-12-14,QJO,Extérieur,RD Congo,0-2
587,1975-11-30,QJO,Domicile,RD Congo,3-1
588,1975-11-03,AMC,Domicile,Mali,2-1
589,1975-06-01,QJO,Domicile,Togo,1-0
590,1975-05-21,QJO,Extérieur,Togo,1-1
591,1975-04-25,AMC,Domicile,Nigeria,1-0
592,1975-04-23,AMC,Domicile,Côte d'Ivoire,1-0
593,1975-04-13,QCAN,Domicile,Maroc,2-1
594,1975-03-30,QCAN,Extérieur,Maroc,0-4
595,1975-03-23,AMC,Extérieur,Algérie,1-3
596,1975-02-22,AMC,Extérieur,Nigeria,1-1
597,1975-02-16,AMC,Extérieur,Mali,1-2
598,1975-01-02,AMC,Domicile,Nigeria,0-1
599,1974-07-14,AMC,Extérieur,Burkina Faso,1-3
600,1973-04-29,QCAN,Domicile,Ghana,1-0
601,1973-04-15,QCAN,Extérieur,Ghana,2-3
602,1973-02-18,AMC,Neutre,Liberia,2-0
603,1973-02-01,AMC,Neutre,Gambie,1-2
604,1972-12-03,QCDM,Domicile,Maroc,1-2
605,1972-11-29,AMC,Domicile,Chine,0-0
606,1972-11-19,QCDM,Extérieur,Maroc,0-0
607,1972-10-08,AMC,Domicile,Gambie,7-1
608,1972-10-01,AMC,Domicile,Guinée,2-3
609,1972-09-28,QCAN,Domicile,Mauritanie,10-1
610,1972-09-10,AMC,Domicile,Côte d'Ivoire,1-2
611,1972-07-17,AMC,Domicile,Maroc,1-3
612,1972-05-28,QJO,Domicile,Ghana,2-0
613,1972-05-19,QJO,Extérieur,Cameroun,2-3
614,1972-05-14,QJO,Neutre,Togo,0-0
615,1972-05-08,QJO,Extérieur,Ghana,1-0
616,1972-05-05,QJO,Domicile,Cameroun,0-0
